"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Ecology","BayestraitsDependent_Ecology","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","simulation_variant","ml_model_supported","chisq_p_selectionwronglysupported_df","chisq_p_selectionwronglysupported","chisq_p_selectiontoonestatewronglysupported","selectionwronglysupportedsignificant","selectiontoonewronglysupportedsignificant","chisq_p_selectiontoonestatewronglysupported_df","BT_dependent_CladeA_better","BT_dependent_Forest_better","samplesize","horizontaltransmission","diversityrepresented","BT_MultistateFree_better","chisq_BT_MultitstateFree_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_MultitstateFree_wronglysupported","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported","X.1","BT_Multistate_nonconvergence"
"4372",4402,"Onetree",4,2,2,"cladeA",3,-10.8295056271638,-9.22819923294509,-10.4930637752328,-13.5837056629988,-7.84289879811904,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-10.9156255001809,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.112920736357159,0.112920736357159,0.201632933760717,0,0,0.201632933760717,NA,NA,113,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4372,NA
"4373",4403,"Onetree",4,2,2,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,21,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4373,NA
"4374",4404,"Onetree",4,2,2,"cladeC",2,-3.87719273314595,-3.83239437575486,-4.56624948090644,-4.63934311784106,-3.83239437575486,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-3.98995702842741,NA,NA,FALSE,"drift_four_medium","loglik_selectiononestate",0.764690476582739,0.764690476582739,0.764690476582739,0,0,0.764690476582739,NA,NA,78,"No",0.5,NA,NA,NA,NA,NA,NA,NA,4374,NA
"4375",4405,"Onetree",4,2,2,"cladeD",3,-6.87043257728032,-5.83224476388264,-7.28968854418104,-7.04844743386224,-5.47197843544128,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-9.14039020489725,NA,NA,TRUE,"drift_four_medium","loglik_unconstrained",0.424009121531768,0.424009121531768,0.354095788524868,0,0,0.354095788524868,NA,NA,81,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4375,NA
"4376",4406,"Onetree",4,2,2,"cladeE",2,-2.54271690281172,-2.25384893122895,-2.80940082594161,-2.45847664611106,-2.25384893122895,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-2.62342653025926,NA,NA,FALSE,"drift_four_medium","loglik_selectiononestate",0.447201129756926,0.447201129756926,0.447201129756926,0,0,0.447201129756926,NA,NA,48,"No",0.5,NA,NA,NA,NA,NA,NA,NA,4376,NA
"4377",4407,"Onetree",4,2,2,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,34,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4377,NA
"4378",4408,"Onetree",4,2,2,"ThreeQuarterSample",4,-25.2812325380819,-24.4683204536488,-26.2378186288262,-30.5398053782948,-21.849907188014,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-29.2640071307085,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.333736278647747,0.333736278647747,0.653548641268265,0,0,0.653548641268265,NA,NA,200,"No",1,NA,NA,NA,NA,NA,NA,NA,4378,NA
"4379",4409,"Onetree",4,2,2,"HalfSample",4,-25.5123228979335,-24.580692686543,-24.5668444342211,-28.254951940884,-21.2060360806113,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-29.66730817132,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.196567389157241,0.196567389157241,0.601266445569691,0,0,0.601266445569691,NA,NA,103,"No",1,NA,NA,NA,NA,NA,NA,NA,4379,NA
"4380",4410,"Onetree",4,2,2,"Rarelost",4,-32.7884245627307,-32.4182807805024,-33.1287457412476,-42.6463035598085,-29.7813047348532,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-37.0291414980612,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.421596836361058,0.421596836361058,0.863689443188824,0,0,0.863689443188824,NA,NA,290,"No",1,NA,NA,NA,NA,NA,NA,NA,4380,NA
"4381",4411,"Onetree",4,2,2,"Frequentlost",4,-32.742156468846,-32.439926601816,-33.1219096861411,-42.7814550872245,-29.7499267759794,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-37.0233563591124,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.424933207345706,0.424933207345706,0.895410664476388,0,0,0.895410664476388,NA,NA,200,"No",1,NA,NA,NA,NA,NA,NA,NA,4381,NA
"4382",4412,"Onetree",4,2,2,"Ecologyloss",4,-29.9127546389707,-29.7307992432804,-30.6355626328901,-40.2544180972895,-27.2051369458137,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-34.4954079758535,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.49176027619181,0.49176027619181,0.947592502870199,0,0,0.947592502870199,NA,NA,306,"No",1,NA,NA,NA,NA,NA,NA,NA,4382,NA
"4383",4413,"Onetree",4,2,2,"horizontal10",4,-172.901308146118,-172.201241086776,-185.857917012055,-302.09086763335,-158.766056451538,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-197.780869992785,-158.766056,-172.901308,FALSE,"drift_four_medium","loglik_unconstrained",8.355630310386e-05,8.355630310386e-05,0.705503293337343,1,0,0.705503293337343,NA,28.270504,306,"Yes",1,28.270504,0.00163366113166774,NA,1.0993290701089e-05,1,NA,1,4383,FALSE
