"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"185","Earlytree","7","horizontalnodes","0.318","0.21","0.307124060445123","0.999992436102588"
"186","Earlytree","7","horizontalnodesecology","0.48","0.14","0.307124060445123","0"
"187","Earlytree","7","horizontalneighbor","0.434","0.262","0.307124060445123","0"
"188","Earlytree","8","full","0.608","0.196","0.38232139027809","0.999988778938039"
"189","Earlytree","8","threequarter","0.572","0.23","0.38232139027809","0.412325461683999"
"190","Earlytree","8","half","0.82","0.306","0.38232139027809","0"
"191","Earlytree","8","positiveloss","0.646","0.33","0.38232139027809","0"
"192","Earlytree","8","ecologyloss","0.804","0.272","0.38232139027809","0.838509766408598"
"193","Earlytree","8","horizontal10","0.638","0.248","0.38232139027809","0"
"194","Earlytree","8","horizontal10clade","0.73","0.196","0.38232139027809","0"
"195","Earlytree","8","horizontal10ecology","0.562","0.224","0.38232139027809","0"
"196","Earlytree","8","horizontalnodes","0.644","0.21","0.38232139027809","0"
"197","Earlytree","8","horizontalnodesecology","0.624","0.168","0.38232139027809","0.999987466115724"
"198","Earlytree","8","horizontalneighbor","0.782","0.262","0.38232139027809","0"
"199","Earlytree","9","full","0.386","0.036","0.377314595596394","0.999999999220487"
"200","Earlytree","9","threequarter","0.456","0.064","0.377314595596394","0.999960420471952"
"201","Earlytree","9","half","0.516","0.076","0.377314595596394","0"
"202","Earlytree","9","positiveloss","0.34","0.062","0.377314595596394","0.999999696092142"
"203","Earlytree","9","ecologyloss","0.42","0.074","0.377314595596394","0.999989757092359"
"204","Earlytree","9","horizontal10","0.48","0.088","0.377314595596394","0"
"205","Earlytree","9","horizontal10clade","0.49","0.058","0.377314595596394","0"
"206","Earlytree","9","horizontal10ecology","0.328","0.062","0.377314595596394","0"
"207","Earlytree","9","horizontalnodes","0.45","0.078","0.377314595596394","0"
"208","Earlytree","9","horizontalnodesecology","0.39","0.038","0.377314595596394","0.999999999532425"
"209","Earlytree","9","horizontalneighbor","0.32","0.076","0.377314595596394","0"
"210","Earlytree","10","full","0.846","0.47","0.13998597140468","0.999999999999999"
"211","Earlytree","10","threequarter","0.93","0.524","0.13998597140468","0.999999997272935"
"212","Earlytree","10","half","0.874","0.634","0.13998597140468","0.99976403884896"
"213","Earlytree","10","positiveloss","1","0.644","0.13998597140468","0.999993030461964"
"214","Earlytree","10","ecologyloss","0.9","0.418","0.13998597140468","0.999999999980883"
"215","Earlytree","10","horizontal10","0.886","0.468","0.13998597140468","0.999971754851812"
"216","Earlytree","10","horizontal10clade","0.92","0.478","0.13998597140468","0.99999997178968"
"217","Earlytree","10","horizontal10ecology","0.94","0.476","0.13998597140468","0.999999231503969"
"218","Earlytree","10","horizontalnodes","0.908","0.488","0.13998597140468","0.999999999999671"
"219","Earlytree","10","horizontalnodesecology","0.894","0.472","0.13998597140468","0.999999999999998"
"220","Earlytree","10","horizontalneighbor","0.89","0.53","0.13998597140468","0"
"221","Latetree","1","full","0.998","0.498","0.0959115124855807","0.999999999921552"
"222","Latetree","1","threequarter","0.898","0.658","0.0959115124855807","0.992725966454243"
"223","Latetree","1","half","0.956","0.676","0.0959115124855807","0.963367298791306"
"224","Latetree","1","positiveloss","0.99","0.666","0.0959115124855807","0"
"225","Latetree","1","ecologyloss","0.986","0.592","0.0959115124855807","0.999991648168997"
"226","Latetree","1","horizontal10","0.97","0.568","0.0959115124855807","0"
"227","Latetree","1","horizontal10clade","0.886","0.562","0.0959115124855807","0"
"228","Latetree","1","horizontal10ecology","0.906","0.64","0.0959115124855807","0"
"229","Latetree","1","horizontalnodes","0.952","0.486","0.0959115124855807","0.99999999998964"
"230","Latetree","1","horizontalnodesecology","0.99","0.534","0.0959115124855807","0.999999999978815"
"231","Latetree","1","horizontalneighbor","0.908","0.652","0.0959115124855807","0"
"232","Latetree","2","full","0.778","0.298","0.154844390035562","0.999999968008873"
"233","Latetree","2","threequarter","0.822","0.36","0.154844390035562","0.989781052523595"
"234","Latetree","2","half","0.69","0.384","0.154844390035562","0"
"235","Latetree","2","positiveloss","0.904","0.418","0.154844390035562","0"
"236","Latetree","2","ecologyloss","0.86","0.436","0.154844390035562","0.999885147818104"
"237","Latetree","2","horizontal10","0.722","0.316","0.154844390035562","0"
"238","Latetree","2","horizontal10clade","0.8","0.306","0.154844390035562","0"
"239","Latetree","2","horizontal10ecology","0.838","0.374","0.154844390035562","0"
"240","Latetree","2","horizontalnodes","0.786","0.308","0.154844390035562","0.999999953622019"
"241","Latetree","2","horizontalnodesecology","0.762","0.302","0.154844390035562","0.99999998954763"
"242","Latetree","2","horizontalneighbor","0.816","0.372","0.154844390035562","0"
"243","Latetree","3","full","0.506","0.398","0.289178136523814","0.999999995974008"
"244","Latetree","3","threequarter","0.574","0.53","0.289178136523814","0.992359363499375"
"245","Latetree","3","half","0.716","0.54","0.289178136523814","0.845206853187551"
"246","Latetree","3","positiveloss","0.762","0.448","0.289178136523814","0"
"247","Latetree","3","ecologyloss","0.54","0.524","0.289178136523814","0.999999997994616"
"248","Latetree","3","horizontal10","0.532","0.478","0.289178136523814","0"
"249","Latetree","3","horizontal10clade","0.598","0.416","0.289178136523814","0"
"250","Latetree","3","horizontal10ecology","0.554","0.44","0.289178136523814","0"
"251","Latetree","3","horizontalnodes","0.506","0.392","0.289178136523814","0.999999996305775"
"252","Latetree","3","horizontalnodesecology","0.64","0.462","0.289178136523814","0.999999999999959"
"253","Latetree","3","horizontalneighbor","0.704","0.508","0.289178136523814","0"
"254","Latetree","4","full","0.44","0.102","0.253289081542322","0.999277857467569"
"255","Latetree","4","threequarter","0.536","0.16","0.253289081542322","0"
"256","Latetree","4","half","0.58","0.288","0.253289081542322","0"
"257","Latetree","4","positiveloss","0.624","0.208","0.253289081542322","0.990082651936181"
"258","Latetree","4","ecologyloss","0.596","0.166","0.253289081542322","0.999999973657988"
"259","Latetree","4","horizontal10","0.536","0.138","0.253289081542322","0"
"260","Latetree","4","horizontal10clade","0.496","0.104","0.253289081542322","0"
"261","Latetree","4","horizontal10ecology","0.498","0.148","0.253289081542322","0"
"262","Latetree","4","horizontalnodes","0.464","0.086","0.253289081542322","0.999813818667141"
"263","Latetree","4","horizontalnodesecology","0.488","0.118","0.253289081542322","0.999742893142813"
"264","Latetree","4","horizontalneighbor","0.472","0.162","0.253289081542322","0"
"265","Latetree","5","full","0.164","0.001","0.735345982356816","0.999999999997853"
"266","Latetree","5","threequarter","0.154","0.026","0.735345982356816","0.999980642340154"
"267","Latetree","5","half","0.288","0.03","0.735345982356816","0.917471554744851"
"268","Latetree","5","positiveloss","0.126","0.00800000000000001","0.735345982356816","0.999999861001779"
"269","Latetree","5","ecologyloss","0.218","0.01","0.735345982356816","0.999999723458771"
"270","Latetree","5","horizontal10","0.272","0.02","0.735345982356816","0"
"271","Latetree","5","horizontal10clade","0.148","0.01","0.735345982356816","0"
"272","Latetree","5","horizontal10ecology","0.166","0.00600000000000001","0.735345982356816","0"
"273","Latetree","5","horizontalnodes","0.4","0.024","0.735345982356816","0.999999999999979"
"274","Latetree","5","horizontalnodesecology","0.166","0.004","0.735345982356816","0.999999999999688"
"275","Latetree","5","horizontalneighbor","0.208","0.016","0.735345982356816","0"
"276","Latetree","6","full","0.946","0.344","0.299981549949503","0"
"277","Latetree","6","threequarter","0.87","0.414","0.299981549949503","0"
"278","Latetree","6","half","0.992","0.466","0.299981549949503","0"
"279","Latetree","6","positiveloss","0.77","0.422","0.299981549949503","0"
"280","Latetree","6","ecologyloss","0.886","0.4","0.299981549949503","0"
"281","Latetree","6","horizontal10","0.944","0.394","0.299981549949503","0"
"282","Latetree","6","horizontal10clade","0.794","0.374","0.299981549949503","0"
"283","Latetree","6","horizontal10ecology","0.918","0.378","0.299981549949503","0"
"284","Latetree","6","horizontalnodes","0.736","0.558","0.299981549949503","0"
"285","Latetree","6","horizontalnodesecology","0.96","0.288","0.299981549949503","0"
"286","Latetree","6","horizontalneighbor","0.894","0.36","0.299981549949503","0"
"287","Latetree","7","full","0.67","0.00600000000000001","0.60602716786055","0.999999999282603"
"288","Latetree","7","threequarter","0.834","0.018","0.60602716786055","0.999999988404911"
"289","Latetree","7","half","0.862","0.036","0.60602716786055","0"
"290","Latetree","7","positiveloss","0.904","0.032","0.60602716786055","0"
"291","Latetree","7","ecologyloss","0.994","0.03","0.60602716786055","0.999999476006644"
"292","Latetree","7","horizontal10","0.732","0.00800000000000001","0.60602716786055","0"
"293","Latetree","7","horizontal10clade","0.678","0.012","0.60602716786055","0"
"294","Latetree","7","horizontal10ecology","0.844","0.012","0.60602716786055","0"
"295","Latetree","7","horizontalnodes","0.71","0.002","0.60602716786055","0.999999983474388"
"296","Latetree","7","horizontalnodesecology","0.708","0.004","0.60602716786055","0.999999999988237"
"297","Latetree","7","horizontalneighbor","0.654","0.018","0.60602716786055","0"
"298","Latetree","8","full","0.762","0.118","0.526935219819278","0.990207372112506"
"299","Latetree","8","threequarter","0.994","0.182","0.526935219819278","0"
"300","Latetree","8","half","0.908","0.262","0.526935219819278","0"
"301","Latetree","8","positiveloss","0.712","0.104","0.526935219819278","0"
"302","Latetree","8","ecologyloss","0.908","0.266","0.526935219819278","0"
"303","Latetree","8","horizontal10","0.932","0.158","0.526935219819278","0"
"304","Latetree","8","horizontal10clade","0.83","0.116","0.526935219819278","0"
"305","Latetree","8","horizontal10ecology","0.874","0.21","0.526935219819278","0"
"306","Latetree","8","horizontalnodes","0.52","0.004","0.526935219819278","0.999999909740429"
"307","Latetree","8","horizontalnodesecology","0.738","0.132","0.526935219819278","0"
"308","Latetree","8","horizontalneighbor","0.842","0.144","0.526935219819278","0"
"309","Latetree","9","full","0.76","0.768","0.0871396285313612","0.999591617236998"
"310","Latetree","9","threequarter","0.812","0.796","0.0871396285313612","0.623334493553956"
"311","Latetree","9","half","0.73","0.786","0.0871396285313612","0"
"312","Latetree","9","positiveloss","0.796","0.874","0.0871396285313612","0"
"313","Latetree","9","ecologyloss","0.736","0.722","0.0871396285313612","0.999982910604178"
"314","Latetree","9","horizontal10","0.7","0.75","0.0871396285313612","0"
"315","Latetree","9","horizontal10clade","0.722","0.804","0.0871396285313612","0"
"316","Latetree","9","horizontal10ecology","0.714","0.676","0.0871396285313612","0"
"317","Latetree","9","horizontalnodes","0.728","0.73","0.0871396285313612","0.999556900867991"
"318","Latetree","9","horizontalnodesecology","0.678","0.688","0.0871396285313612","0.995228575196473"
"319","Latetree","9","horizontalneighbor","0.734","0.796","0.0871396285313612","0"
"320","Latetree","10","full","0.648","0.61","0.374664789905992","0"
"321","Latetree","10","threequarter","0.766","0.76","0.374664789905992","0"
"322","Latetree","10","half","0.524","0.722","0.374664789905992","0"
"323","Latetree","10","positiveloss","0.606","0.69","0.374664789905992","0.479848449360965"
"324","Latetree","10","ecologyloss","0.692","0.884","0.374664789905992","0"
"325","Latetree","10","horizontal10","0.578","0.686","0.374664789905992","0"
"326","Latetree","10","horizontal10clade","0.572","0.578","0.374664789905992","0"
"327","Latetree","10","horizontal10ecology","0.536","0.75","0.374664789905992","0"
"328","Latetree","10","horizontalnodes","0.6","0.564","0.374664789905992","0"
"329","Latetree","10","horizontalnodesecology","0.572","0.616","0.374664789905992","0"
"330","Latetree","10","horizontalneighbor","0.702","0.678","0.374664789905992","0"
"331",NA,NA,NA,NA,NA,NA,NA
