"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"212","Earlytree","10","half","0.422","0.028","0.782583726817727","0"
"213","Earlytree","10","positiveloss","0.202","0.002","0.782583726817727","0"
"214","Earlytree","10","ecologyloss","0.174","0.004","0.782583726817727","0"
"215","Earlytree","10","horizontal10","0.19","0.006","0.782583726817727","0"
"216","Earlytree","10","horizontal10clade","0.184","0.004","0.782583726817727","0"
"217","Earlytree","10","horizontal10ecology","0.17","0.006","0.782583726817727","0"
"218","Earlytree","10","horizontalnodes","0.18","0.002","0.782583726817727","0"
"219","Earlytree","10","horizontalnodesecology","0.164","0.002","0.782583726817727","0"
"220","Earlytree","10","horizontalneighbor","0.218","0.004","0.782583726817727","0"
"221","Latetree","1","full","0.644","0.218","0.256216238735878","1"
"222","Latetree","1","threequarter","0.54","0.414","0.256216238735878","0"
"223","Latetree","1","half","0.778","0.418","0.256216238735878","0"
"224","Latetree","1","positiveloss","0.63","0.288","0.256216238735878","0"
"225","Latetree","1","ecologyloss","0.624","0.348","0.256216238735878","0"
"226","Latetree","1","horizontal10","0.676","0.32","0.256216238735878","0"
"227","Latetree","1","horizontal10clade","0.548","0.224","0.256216238735878","0"
"228","Latetree","1","horizontal10ecology","0.596","0.292","0.256216238735878","0"
"229","Latetree","1","horizontalnodes","0.518","0.14","0.256216238735878","0.999999999999624"
"230","Latetree","1","horizontalnodesecology","0.606","0.254","0.256216238735878","0.999999999999757"
"231","Latetree","1","horizontalneighbor","0.774","0.334","0.256216238735878","0"
"232","Latetree","2","full","0.356","0.86","0.590867380191924","1"
"233","Latetree","2","threequarter","0.228","0.792","0.590867380191924","0"
"234","Latetree","2","half","0.546","0.858","0.590867380191924","0"
"235","Latetree","2","positiveloss","0.374","0.574","0.590867380191924","0"
"236","Latetree","2","ecologyloss","0.39","0.866","0.590867380191924","0"
"237","Latetree","2","horizontal10","0.416","0.848","0.590867380191924","0"
"238","Latetree","2","horizontal10clade","0.332","0.802","0.590867380191924","0"
"239","Latetree","2","horizontal10ecology","0.378","0.976","0.590867380191924","0"
"240","Latetree","2","horizontalnodes","0.382","0.92","0.590867380191924","1"
"241","Latetree","2","horizontalnodesecology","0.62","0.436","0.590867380191924","1"
"242","Latetree","2","horizontalneighbor","0.536","0.734","0.590867380191924","0"
"243","Latetree","3","full","0.67","0.714","0.253091457434388","0.99999999999984"
"244","Latetree","3","threequarter","0.622","0.606","0.253091457434388","0"
"245","Latetree","3","half","0.544","0.7","0.253091457434388","0"
"246","Latetree","3","positiveloss","0.646","0.512","0.253091457434388","0"
"247","Latetree","3","ecologyloss","0.712","0.65","0.253091457434388","0"
"248","Latetree","3","horizontal10","0.672","0.74","0.253091457434388","0"
"249","Latetree","3","horizontal10clade","0.592","0.678","0.253091457434388","0"
"250","Latetree","3","horizontal10ecology","0.604","0.676","0.253091457434388","0"
"251","Latetree","3","horizontalnodes","0.65","0.772","0.253091457434388","0.99515116936344"
"252","Latetree","3","horizontalnodesecology","0.614","0.72","0.253091457434388","0.999999999999868"
