"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"141","Earlytree","3","horizontalnodes","0.54","0.752","0.887598566407078"
"142","Earlytree","3","horizontalnodesecology","0.602","0.862","0.887598566407078"
"143","Earlytree","3","horizontalneighbor","0.638","0.856","0.887598566407078"
"144","Earlytree","4","full","0.748","0.01","1.00631851985244"
"145","Earlytree","4","threequarter","0.672","0.066","1.00631851985244"
"146","Earlytree","4","half","0.706","0.092","1.00631851985244"
"147","Earlytree","4","positiveloss","0.73","0.016","1.00631851985244"
"148","Earlytree","4","ecologyloss","0.674","0.022","1.00631851985244"
"149","Earlytree","4","horizontal10","0.924","0.054","1.00631851985244"
"150","Earlytree","4","horizontal10clade","0.764","0.006","1.00631851985244"
"151","Earlytree","4","horizontal10ecology","0.732","0.022","1.00631851985244"
"152","Earlytree","4","horizontalnodes","0.7","0.008","1.00631851985244"
"153","Earlytree","4","horizontalnodesecology","0.72","0.018","1.00631851985244"
"154","Earlytree","4","horizontalneighbor","0.968","0.082","1.00631851985244"
"155","Earlytree","5","full","0.526","0.476","0.825153807522763"
"156","Earlytree","5","threequarter","0.63","0.406","0.825153807522763"
"157","Earlytree","5","half","0.594","0.552","0.825153807522763"
"158","Earlytree","5","positiveloss","0.574","0.5","0.825153807522763"
"159","Earlytree","5","ecologyloss","0.51","0.594","0.825153807522763"
"160","Earlytree","5","horizontal10","0.73","0.618","0.825153807522763"
"161","Earlytree","5","horizontal10clade","0.51","0.518","0.825153807522763"
"162","Earlytree","5","horizontal10ecology","0.422","0.576","0.825153807522763"
"163","Earlytree","5","horizontalnodes","0.598","0.456","0.825153807522763"
"164","Earlytree","5","horizontalnodesecology","0.54","0.492","0.825153807522763"
"165","Earlytree","5","horizontalneighbor","0.712","0.468","0.825153807522763"
"166","Earlytree","6","full","0.596","0.866","0.925035777820144"
"167","Earlytree","6","threequarter","0.632","0.854","0.925035777820144"
"168","Earlytree","6","half","0.716","0.76","0.925035777820144"
"169","Earlytree","6","positiveloss","0.618","0.958","0.925035777820144"
"170","Earlytree","6","ecologyloss","0.604","0.84","0.925035777820144"
"171","Earlytree","6","horizontal10","0.562","0.882","0.925035777820144"
"172","Earlytree","6","horizontal10clade","0.528","0.796","0.925035777820144"
"173","Earlytree","6","horizontal10ecology","0.47","0.956","0.925035777820144"
"174","Earlytree","6","horizontalnodes","0.514","0.94","0.925035777820144"
"175","Earlytree","6","horizontalnodesecology","0.562","0.51","0.925035777820144"
"176","Earlytree","6","horizontalneighbor","0.798","0.688","0.925035777820144"
"177","Earlytree","7","full","0.7","0.446","0.865860905645654"
"178","Earlytree","7","threequarter","0.64","0.644","0.865860905645654"
"179","Earlytree","7","half","0.668","0.45","0.865860905645654"
"180","Earlytree","7","positiveloss","0.674","0.442","0.865860905645654"
"181","Earlytree","7","ecologyloss","0.512","0.456","0.865860905645654"
"182","Earlytree","7","horizontal10","0.764","0.454","0.865860905645654"
"183","Earlytree","7","horizontal10clade","0.832","0.42","0.865860905645654"
"184","Earlytree","7","horizontal10ecology","0.714","0.578","0.865860905645654"
"185","Earlytree","7","horizontalnodes","0.608","0.316","0.865860905645654"
"186","Earlytree","7","horizontalnodesecology","0.712","0.362","0.865860905645654"
"187","Earlytree","7","horizontalneighbor","0.872","0.524","0.865860905645654"
"188","Earlytree","8","full","0.484","0.044","0.856919070115121"
"189","Earlytree","8","threequarter","0.626","0.114","0.856919070115121"
"190","Earlytree","8","half","0.366","0.214","0.856919070115121"
"191","Earlytree","8","positiveloss","0.444","0.0780000000000001","0.856919070115121"
"192","Earlytree","8","ecologyloss","0.622","0.0700000000000001","0.856919070115121"
"193","Earlytree","8","horizontal10","0.444","0.132","0.856919070115121"
"194","Earlytree","8","horizontal10clade","0.44","0.0620000000000001","0.856919070115121"
"195","Earlytree","8","horizontal10ecology","0.546","0.0840000000000001","0.856919070115121"
"196","Earlytree","8","horizontalnodes","0.446","0.0720000000000001","0.856919070115121"
"197","Earlytree","8","horizontalnodesecology","0.488","0.0680000000000001","0.856919070115121"
"198","Earlytree","8","horizontalneighbor","0.778","0.0920000000000001","0.856919070115121"
"199","Earlytree","9","full","0.402","0.118","0.947303170929194"
"200","Earlytree","9","threequarter","0.458","0.204","0.947303170929194"
"201","Earlytree","9","half","0.646","0.286","0.947303170929194"
"202","Earlytree","9","positiveloss","0.5","0.154","0.947303170929194"
"203","Earlytree","9","ecologyloss","0.366","0.148","0.947303170929194"
"204","Earlytree","9","horizontal10","0.416","0.1","0.947303170929194"
"205","Earlytree","9","horizontal10clade","0.356","0.106","0.947303170929194"
"206","Earlytree","9","horizontal10ecology","0.566","0.136","0.947303170929194"
"207","Earlytree","9","horizontalnodes","0.462","0.1","0.947303170929194"
"208","Earlytree","9","horizontalnodesecology","0.542","0.17","0.947303170929194"
"209","Earlytree","9","horizontalneighbor","0.35","0.136","0.947303170929194"
"210","Earlytree","10","full","0.69","0.372","0.593501505695248"
"211","Earlytree","10","threequarter","0.78","0.38","0.593501505695248"
"212","Earlytree","10","half","0.8","0.482","0.593501505695248"
"213","Earlytree","10","positiveloss","0.642","0.382","0.593501505695248"
"214","Earlytree","10","ecologyloss","0.552","0.38","0.593501505695248"
"215","Earlytree","10","horizontal10","0.752","0.47","0.593501505695248"
"216","Earlytree","10","horizontal10clade","0.658","0.312","0.593501505695248"
"217","Earlytree","10","horizontal10ecology","0.678","0.478","0.593501505695248"
"218","Earlytree","10","horizontalnodes","0.996","0.848","0.593501505695248"
"219","Earlytree","10","horizontalnodesecology","0.704","0.428","0.593501505695248"
"220","Earlytree","10","horizontalneighbor","0.748","0.532","0.593501505695248"
"221","Latetree","1","full","0.756","0.004","0.708677238641397"
"222","Latetree","1","threequarter","0.602","0.024","0.708677238641397"
"223","Latetree","1","half","0.834","0.048","0.708677238641397"
"224","Latetree","1","positiveloss","0.904","0.004","0.708677238641397"
"225","Latetree","1","ecologyloss","0.766","0.024","0.708677238641397"
"226","Latetree","1","horizontal10","0.836","0.012","0.708677238641397"
"227","Latetree","1","horizontal10clade","0.714","0.00600000000000001","0.708677238641397"
"228","Latetree","1","horizontal10ecology","0.87","0.01","0.708677238641397"
"229","Latetree","1","horizontalnodes","0.75","0.004","0.708677238641397"
"230","Latetree","1","horizontalnodesecology","0.868","0.012","0.708677238641397"
"231","Latetree","1","horizontalneighbor","0.964","0.016","0.708677238641397"
"232","Latetree","2","full","0.954","0.06","0.446769803952833"
"233","Latetree","2","threequarter","0.978","0.09","0.446769803952833"
"234","Latetree","2","half","0.954","0.168","0.446769803952833"
"235","Latetree","2","positiveloss","0.958","0.056","0.446769803952833"
"236","Latetree","2","ecologyloss","0.824","0.076","0.446769803952833"
"237","Latetree","2","horizontal10","0.93","0.06","0.446769803952833"
"238","Latetree","2","horizontal10clade","0.996","0.054","0.446769803952833"
"239","Latetree","2","horizontal10ecology","0.93","0.104","0.446769803952833"
"240","Latetree","2","horizontalnodes","0.89","0.03","0.446769803952833"
"241","Latetree","2","horizontalnodesecology","0.996","0.062","0.446769803952833"
"242","Latetree","2","horizontalneighbor","0.942","0.124","0.446769803952833"
"243","Latetree","3","full","0.528","0.398","0.300461672881421"
"244","Latetree","3","threequarter","0.576","0.454","0.300461672881421"
"245","Latetree","3","half","0.618","0.416","0.300461672881421"
"246","Latetree","3","positiveloss","0.898","0.578","0.300461672881421"
"247","Latetree","3","ecologyloss","0.468","0.294","0.300461672881421"
"248","Latetree","3","horizontal10","0.6","0.452","0.300461672881421"
"249","Latetree","3","horizontal10clade","0.638","0.414","0.300461672881421"
"250","Latetree","3","horizontal10ecology","0.578","0.404","0.300461672881421"
"251","Latetree","3","horizontalnodes","0.762","0.586","0.300461672881421"
"252","Latetree","3","horizontalnodesecology","0.604","0.386","0.300461672881421"
"253","Latetree","3","horizontalneighbor","0.664","0.404","0.300461672881421"
"254","Latetree","4","full","0.632","0.0580000000000001","1.20625079184098"
"255","Latetree","4","threequarter","0.904","0.112","1.20625079184098"
"256","Latetree","4","half","0.666","0.164","1.20625079184098"
"257","Latetree","4","positiveloss","0.68","0.022","1.20625079184098"
"258","Latetree","4","ecologyloss","0.596","0.266","1.20625079184098"
"259","Latetree","4","horizontal10","0.836","0.0740000000000001","1.20625079184098"
"260","Latetree","4","horizontal10clade","0.668","0.0800000000000001","1.20625079184098"
"261","Latetree","4","horizontal10ecology","0.584","0.0640000000000001","1.20625079184098"
"262","Latetree","4","horizontalnodes","0.58","0.0620000000000001","1.20625079184098"
"263","Latetree","4","horizontalnodesecology","0.568","0.0980000000000001","1.20625079184098"
"264","Latetree","4","horizontalneighbor","0.796","0.106","1.20625079184098"
"265","Latetree","5","full","0.674","0.774","0.211010123547518"
"266","Latetree","5","threequarter","0.802","0.796","0.211010123547518"
"267","Latetree","5","half","0.76","0.79","0.211010123547518"
"268","Latetree","5","positiveloss","0.588","0.65","0.211010123547518"
