"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"220","Grafentree","10","horizontalneighbor","0.508","0.286","0.262758830118836"
"221","Earlytree","1","full","0.396","0.332","0.778006898895301"
"222","Earlytree","1","threequarter","0.756","0.432","0.778006898895301"
"223","Earlytree","1","half","0.844","0.43","0.778006898895301"
"224","Earlytree","1","positiveloss","0.43","0.358","0.778006898895301"
"225","Earlytree","1","ecologyloss",NA,"0.168","0.778006898895301"
"226","Earlytree","1","horizontal10","0.486","0.304","0.778006898895301"
"227","Earlytree","1","horizontal10clade","0.302","0.3","0.778006898895301"
"228","Earlytree","1","horizontal10ecology","0.402","0.36","0.778006898895301"
"229","Earlytree","1","horizontalnodes","0.474","0.32","0.778006898895301"
"230","Earlytree","1","horizontalnodesecology","0.378","0.386","0.778006898895301"
"231","Earlytree","1","horizontalneighbor","0.548","0.374","0.778006898895301"
"232","Earlytree","2","full","0.802","0.028","1.18008887996784"
"233","Earlytree","2","threequarter","0.74","0.15","1.18008887996784"
"234","Earlytree","2","half","0.66","0.0660000000000001","1.18008887996784"
"235","Earlytree","2","positiveloss","0.822","0.028","1.18008887996784"
"236","Earlytree","2","ecologyloss",NA,"0.0820000000000001","1.18008887996784"
"237","Earlytree","2","horizontal10","0.976","0.046","1.18008887996784"
"238","Earlytree","2","horizontal10clade","0.822","0.036","1.18008887996784"
"239","Earlytree","2","horizontal10ecology","0.836","0.0960000000000001","1.18008887996784"
"240","Earlytree","2","horizontalnodes","0.87","0.022","1.18008887996784"
"241","Earlytree","2","horizontalnodesecology","0.842","0.056","1.18008887996784"
"242","Earlytree","2","horizontalneighbor","0.754","0.0840000000000001","1.18008887996784"
"243","Earlytree","3","full","0.204","0.424","0.959178276410073"
"244","Earlytree","3","threequarter","0.542","0.73","0.959178276410073"
"245","Earlytree","3","half","0.388","0.79","0.959178276410073"
"246","Earlytree","3","positiveloss","0.246","0.386","0.959178276410073"
"247","Earlytree","3","ecologyloss",NA,"0.232","0.959178276410073"
"248","Earlytree","3","horizontal10","0.3","0.598","0.959178276410073"
"249","Earlytree","3","horizontal10clade","0.278","0.186","0.959178276410073"
"250","Earlytree","3","horizontal10ecology","0.268","0.4","0.959178276410073"
"251","Earlytree","3","horizontalnodes","0.3","0.396","0.959178276410073"
"252","Earlytree","3","horizontalnodesecology","0.22","0.386","0.959178276410073"
"253","Earlytree","3","horizontalneighbor","0.402","0.508","0.959178276410073"
"254","Earlytree","4","full","0.224","0.00600000000000001","0.860400217319167"
"255","Earlytree","4","threequarter","0.368","0.03","0.860400217319167"
"256","Earlytree","4","half","0.294","0.0960000000000001","0.860400217319167"
