"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"967",967,"Earlytree",2,2,7,"horizontal10",2,NA,NA,NA,NA,NA,0.872843146093397,1.87055335537189,-110.71848,-77.850478,-155.060856,-135.065078,NA,NA,NA,NA,NA,967,65.736004,39.991556,1.800781745942e-13,4.34586193698294e-08,1,1
"968",968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,NA,NA,NA,NA,NA,NA
"969",969,"Earlytree",2,2,7,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.896488502613469,2.55684561696112,-95.716185,NA,-113.9867,-94.706317,NA,NA,NA,NA,NA,969,NA,38.560766,NA,8.58444468843089e-08,NA,1
"970",970,"Earlytree",2,2,7,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.637920515461304,1.31077112091674,-96.993436,NA,-158.498029,-128.731443,NA,NA,NA,NA,NA,970,NA,59.533172,NA,3.63598040564739e-12,NA,1
"971",971,"Earlytree",2,2,8,"full",2,NA,NA,NA,NA,NA,1.29719631595606,2.0780043092535,-96.993436,-51.089736,-157.373598,-135.061011,NA,NA,NA,NA,"Q_onlyandslowInEcology1",971,91.8074,44.625174,0,4.75726191773163e-09,1,1
"972",972,"Earlytree",2,2,8,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.29719631595606,2.0780043092535,-73.439867,-40.219561,-99.133812,-113.735425,NA,NA,NA,NA,NA,972,66.440612,-29.203226,1.27897692436818e-13,1,1,0
"973",973,"Earlytree",2,2,8,"HalfSample",2,NA,NA,NA,NA,NA,1.09028105367272,1.5566180710759,-82.422858,NA,-83.544223,-66.994471,NA,NA,NA,NA,NA,973,NA,33.099504,NA,1.13973796045386e-06,NA,1
"974",974,"Earlytree",2,2,8,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,1.79342091800605,-73.294755,-28.07007,-154.094411,-120.175116,NA,NA,NA,NA,NA,974,90.44937,67.83859,0,6.48370246381091e-14,1,1
"975",975,"Earlytree",2,2,8,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,2.39696019423888,-74.699612,-25.693597,-91.855248,-84.950021,NA,NA,NA,NA,NA,975,98.01203,13.810454,0,0.00792523890645436,1,1
"976",976,"Earlytree",2,2,8,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,2.31623945818822,-79.806634,NA,-112.495472,-92.083435,NA,NA,NA,NA,NA,976,NA,40.824074,NA,2.92296054027474e-08,NA,1
