"","Tree","Repetition","Sample","pvalue_ecology","pvalue_alternative","pvalue_clade","variance_trait","median_Ecology1","median_Ecology2","median_Alternative1","median_Alternative2","median_CladeA","median_OtherClades","predictor_variable"
"302","Latetree","8","ecologyloss","0.026","0.014","0.001","3.76284550664582","-1.41876953530467","-3.48735904528106","0.917901840850886","-3.2127469046183","1.00829533195627","-3.54884955665225","simmapattemptCladeA"
"303","Latetree","8","horizontal10","0.036","0.014","0.001","3.76284550664582","-1.54488343002966","-3.51829357657836","0.885835524895419","-3.40280041492818","0.949325337304119","-3.54767260900281","simmapattemptCladeA"
"304","Latetree","8","horizontal10clade","0.018","0.014","0.001","3.76284550664582","-1.41876953530467","-3.51829357657836","0.885835524895419","-3.33647482445487","0.956250846516812","-3.55333829493119","simmapattemptCladeA"
"305","Latetree","8","horizontal10ecology","0.032","0.014","0.001","3.76284550664582","-1.41876953530467","-3.48427021803502","0.885835524895419","-3.30152656818846","0.976709433749148","-3.54505635258904","simmapattemptCladeA"
"306","Latetree","8","horizontalnodes","0.016","0.014","0.001","3.76284550664582","-1.50929809331421","-3.50656728241182","0.885835524895419","-3.33647482445487","0.918425828638603","-3.55333829493119","simmapattemptCladeA"
"307","Latetree","8","horizontalnodesecology","0.016","0.014","0.001","3.76284550664582","-1.41876953530467","-3.50656728241182","0.885835524895419","-3.3157754785323","0.956250846516812","-3.55333829493119","simmapattemptCladeA"
"308","Latetree","8","horizontalneighbor","0.062","0.014","0.001","3.76284550664582","-1.39803846553275","-3.48942194780899","0.837103591974442","-3.26864848258685","0.931931226618085","-3.54505635258904","simmapattemptCladeA"
"309","Latetree","9","full","0.014","0.086","0.001","1.97343369981483","-1.42673659850512","-2.960035057339","0.033591971378291","-2.80794230326975","0.069729153187213","-3.07334009053144","simmapattemptCladeA"
"310","Latetree","9","quarterloss","0.112","0.086","0.001","1.97343369981483","-1.39960640948936","-2.95284542517922","0.0665113902601548","-2.81625485487257","0.033591971378291","-3.06481786007543","simmapattemptCladeA"
"311","Latetree","9","halfloss","0.274","0.086","0.001","1.97343369981483","-1.48304556364284","-2.97954307535638","0.0825566124914602","-2.84317205099672","0.134258314240479","-3.05478680675902","simmapattemptCladeA"
"312","Latetree","9","positiveloss","0.082","0.086","0.001","1.97343369981483","-1.42673659850512","-2.960035057339","0.033591971378291","-2.80794230326975","0.069729153187213","-3.07334009053144","simmapattemptCladeA"
"313","Latetree","9","ecologyloss","0.104","0.086","0.001","1.97343369981483","-1.42673659850512","-2.81625485487257","0.0992870150777004","-2.67609204936535","0.0750767472651257","-3.07344283920987","simmapattemptCladeA"
"314","Latetree","9","horizontal10","0.06","0.086","0.001","1.97343369981483","-1.39960640948936","-2.86637674517","0.033591971378291","-2.79519523760961","0.0341927764407819","-3.01162252134054","simmapattemptCladeA"
"315","Latetree","9","horizontal10clade","0.078","0.086","0.001","1.97343369981483","-1.42673659850512","-2.94565579301944","0.033591971378291","-2.81589310254584","0.069729153187213","-3.09306056873618","simmapattemptCladeA"
"316","Latetree","9","horizontal10ecology","0.09","0.086","0.001","1.97343369981483","-1.42673659850512","-2.94565579301944","0.033591971378291","-2.80528732430715","0.069729153187213","-3.00847145162576","simmapattemptCladeA"
"317","Latetree","9","horizontalnodes","0.11","0.086","0.001","1.97343369981483","-1.42673659850512","-2.960035057339","0.033591971378291","-2.80794230326975","0.069729153187213","-3.07334009053144","simmapattemptCladeA"
"318","Latetree","9","horizontalnodesecology","0.1","0.086","0.001","1.97343369981483","-1.42673659850512","-2.960035057339","0.033591971378291","-2.80794230326975","0.069729153187213","-3.06428419388747","simmapattemptCladeA"
"319","Latetree","9","horizontalneighbor","0.168","0.086","0.001","1.97343369981483","-1.42673659850512","-2.90042131746366","-0.69075823783779","-2.76689904742515","0.0222672747507962","-3.03368310550062","simmapattemptCladeA"
"320","Latetree","10","full","0.014","0.052","0.001","2.78035486301051","-0.842513447315669","-3.31116484419814","0.203198557393307","-3.29654171727612","0.140883253857323","-3.47635179550544","simmapattemptCladeA"
"321","Latetree","10","quarterloss","0.052","0.052","0.001","2.78035486301051","-0.867529743991357","-3.34455778715854","0.209617206311015","-3.3302587736422","0.114725777454799","-3.49426325644687","simmapattemptCladeA"
"322","Latetree","10","halfloss","0.048","0.052","0.001","2.78035486301051","0.0769165830078829","-3.34604514325924","0.267925244809664","-3.31017976515123","0.211133293250597","-3.48685384508959","simmapattemptCladeA"
"323","Latetree","10","positiveloss","0.038","0.052","0.001","2.78035486301051","-0.842513447315669","-3.31116484419814","0.203198557393307","-3.29654171727612","0.140883253857323","-3.47635179550544","simmapattemptCladeA"
"324","Latetree","10","ecologyloss","0.04","0.052","0.001","2.78035486301051","-0.842513447315669","-3.31207429430035","0.230831900812088","-3.2751135568768","0.188402511809942","-3.50885199353741","simmapattemptCladeA"
"325","Latetree","10","horizontal10","0.166","0.052","0.001","2.78035486301051","-0.759560097711648","-3.30397507838188","0.170468741855829","-3.2768799829851","0.103074059410407","-3.45778670299496","simmapattemptCladeA"
"326","Latetree","10","horizontal10clade","0.074","0.052","0.001","2.78035486301051","-0.842513447315669","-3.31116484419814","0.203198557393307","-3.29654171727612","0.140883253857323","-3.46524862543452","simmapattemptCladeA"
"327","Latetree","10","horizontal10ecology","0.044","0.052","0.001","2.78035486301051","-0.842513447315669","-3.34604514325924","0.203198557393307","-3.30434060238029","0.140883253857323","-3.48212676978346","simmapattemptCladeA"
"328","Latetree","10","horizontalnodes","0.034","0.052","0.001","2.78035486301051","-0.842513447315669","-3.31116484419814","0.203198557393307","-3.29654171727612","0.191054838546081","-3.47635179550544","simmapattemptCladeA"
"329","Latetree","10","horizontalnodesecology","0.054","0.052","0.001","2.78035486301051","-0.842513447315669","-3.3047061263787","0.203198557393307","-3.28249187007485","0.140883253857323","-3.46944362680972","simmapattemptCladeA"
"330","Latetree","10","horizontalneighbor","0.06","0.052","0.001","2.78035486301051","-0.882668224039939","-3.29967343538839","0.203198557393307","-3.27882532268556","0.0106021647543535","-3.45752863783296","simmapattemptCladeA"
"331","Grafentree","1","full","0.988","0.732","0.566","0.160256880789293","0.48353961302811","0.518166802255475","0.347362134939788","0.542125372222913","0.338381549098505","0.706221127329136","simmapattemptEcology"
"332","Grafentree","1","quarterloss","0.764","0.732","0.576","0.160256880789293","0.484529357161311","0.518166802255475","0.413649052682109","0.559307395898973","0.338381549098505","0.722670718572826","simmapattemptEcology"
"333","Grafentree","1","halfloss","0.956","0.732","0.752","0.160256880789293","0.609222534812834","0.544261392985299","0.471749818825055","0.566310201169713","0.415290935339641","0.693830528324502","simmapattemptEcology"
"334","Grafentree","1","positiveloss","0.724","0.732","0.528","0.160256880789293","0.48353961302811","0.485582661050712","0.151365170360795","0.518166802255475","0.270866927519166","0.775563484591155","simmapattemptEcology"
"335","Grafentree","1","ecologyloss","0.646","0.732","0.462","0.160256880789293","0.48353961302811","0.556923860540405","0.325406700870954","0.589360912459545","0.328835689905485","0.930955736094095","simmapattemptEcology"
"336","Grafentree","1","horizontal10","0.776","0.732","0.61","0.160256880789293","0.578248794091232","0.518019019326141","0.413649052682109","0.555367210450029","0.410440596026719","0.703056444069922","simmapattemptEcology"
"337","Grafentree","1","horizontal10clade","0.748","0.732","0.464","0.160256880789293","0.48353961302811","0.555868442228127","0.391693618613276","0.577171236962688","0.338381549098505","0.744867940120923","simmapattemptEcology"
"338","Grafentree","1","horizontal10ecology","0.71","0.732","0.57","0.160256880789293","0.48353961302811","0.519285114535456","0.347362134939788","0.551427025001085","0.338381549098505","0.703056444069922","simmapattemptEcology"
"339","Grafentree","1","horizontalnodes","0.77","0.732","0.544","0.160256880789293","0.48353961302811","0.518166802255475","0.347362134939788","0.542125372222913","0.338381549098505","0.706221127329136","simmapattemptEcology"
"340","Grafentree","1","horizontalnodesecology","0.674","0.732","0.476","0.160256880789293","0.48353961302811","0.537095760969512","0.347362134939788","0.55758791906355","0.338381549098505","0.734279058078432","simmapattemptEcology"
"341","Grafentree","1","horizontalneighbor","0.752","0.732","0.52","0.160256880789293","0.530078106300362","0.518166802255475","0.385524188704981","0.5492910042387","0.366698468153212","0.706221127329136","simmapattemptEcology"
"342","Grafentree","2","full","0.608","0.57","0.0820000000000001","0.451181239590958","0.770257663540766","1.27975220043358","0.522407356648024","1.26288537220441","0.516558956848293","1.44015866988179","simmapattemptEcology"
